nickname	nickname_en	profession	celeb_tier	status
에이브러햄 링컨	Abraham Lincoln	politician	full	active
에이다 러브레이스	Ada Lovelace	scientist	full	active
아담 그랜트	Adam Grant	social_scientist	full	active
아담 스미스	Adam Smith	social_scientist	full	active
아데나 프리드먼	Adena Friedman	entrepreneur	full	active
아돌프 히틀러	Adolf Hitler	politician	full	active
에이드리언 브로디	Adrien Brody	actor	full	active
아이스킬로스	Aeschylus	author	full	inactive
애거서 크리스티	Agatha Christie	author	full	active
악바르 대제	Akbar the Great	commander	full	active
아키오 토요다	Akio Toyoda	entrepreneur	full	active
알 파치노	Al Pacino	actor	full	active
알 비루니	Al-Biruni	scientist	full	inactive
알 파라비	Al-Farabi	humanities_scholar	full	active
알 가잘리	Al-Ghazali	humanities_scholar	full	inactive
알 카밀	Al-Kamil	politician	light	inactive
알 콰리즈미	Al-Khwarizmi	scientist	light	inactive
알 킨디	Al-Kindi	humanities_scholar	light	inactive
알 마문	Al-Mamun	politician	light	inactive
앨런 릭먼	Alan Rickman	actor	full	active
앨런 튜링	Alan Turing	scientist	full	active
알버트 아인슈타인	Albert Einstein	scientist	full	active
알베르토 자코메티	Alberto Giacometti	visual_artist	full	active
알베르투스 마그누스	Albertus Magnus	humanities_scholar	full	inactive
알키비아데스	Alcibiades	commander	full	inactive
알렉스 카프	Alex Karp	entrepreneur	full	active
알렉산더 해밀턴	Alexander Hamilton	politician	full	active
알렉산드르 푸시킨	Alexander Pushkin	author	full	inactive
알렉산드르 스크랴빈	Alexander Scriabin	musician	full	active
알렉산더 대왕	Alexander the Great	commander	full	active
알렉산더 폰 훔볼트	Alexander von Humboldt	scientist	full	inactive
알렉상드르 뒤마	Alexandre Dumas	author	full	inactive
알렉시 드 토크빌	Alexis de Tocqueville	social_scientist	full	active
알프레드 히치콕	Alfred Hitchcock	director	full	active
알프레드 노벨	Alfred Nobel	scientist	full	active
엠버 허드	Amber Heard	actor	full	active
에이미 아담스	Amy Adams	actor	full	active
안중근	An Jung-geun	commander	light	inactive
아나 데 아르마스	Ana de Armas	actor	full	active
앤드류 카네기	Andrew Carnegie	entrepreneur	full	active
앤드류 후버만	Andrew Huberman	scientist	full	active
앤드루 링컨	Andrew Lincoln	actor	full	active
앤디 그로브	Andy Grove	entrepreneur	full	active
유덕화	Andy Lau	actor	full	active
앤디 서키스	Andy Serkis	actor	full	active
앤디 워홀	Andy Warhol	visual_artist	full	active
앙겔라 메르켈	Angela Merkel	politician	full	active
안젤리나 졸리	Angelina Jolie	actor	full	active
아니타 로딕	Anita Roddick	entrepreneur	full	active
안네 프랑크	Anne Frank	author	full	active
앤 해서웨이	Anne Hathaway	actor	full	active
안쏘니 홉킨스	Anthony Hopkins	actor	full	active
안티스테네스	Antisthenes	humanities_scholar	full	active
안토닌 드보르자크	Antonin Dvorak	musician	light	inactive
안토니오 그람시	Antonio Gramsci	humanities_scholar	full	active
안토니오 비발디	Antonio Vivaldi	musician	light	inactive
안야 테일러조이	Anya Taylor-Joy	actor	full	active
아르키메데스	Archimedes	scientist	light	inactive
아리아나 그란데	Ariana Grande	musician	full	active
아리아나 허핑턴	Arianna Huffington	entrepreneur	full	active
아리스토텔레스	Aristotle	humanities_scholar	full	active
아놀드 쇤베르크	Arnold Schoenberg	musician	full	active
아놀드 슈왈츠제네거	Arnold Schwarzenegger	actor	full	active
아서 코난 도일	Arthur Conan Doyle	author	full	active
아르투어 쇼펜하우어	Arthur Schopenhauer	humanities_scholar	full	active
아소카 왕	Ashoka the Great	politician	full	active
아틸라	Attila	commander	light	inactive
오드리 햅번	Audrey Hepburn	actor	full	active
오귀스트 로댕	Auguste Rodin	visual_artist	light	inactive
아우구스티누스	Augustine	humanities_scholar	full	active
아우구스투스	Augustus	politician	full	active
아인 랜드	Ayn Rand	author	full	active
배드 버니	Bad Bunny	musician	full	active
백거이	Bai Juyi	author	full	active
반소	Ban Zhao	humanities_scholar	full	inactive
버락 오바마	Barack Obama	politician	full	active
바바라 카틀랜드	Barbara Cartland	author	full	active
바뤼흐 스피노자	Baruch Spinoza	humanities_scholar	full	inactive
벤 에플렉	Ben Affleck	actor	full	active
벤 호로위츠	Ben Horowitz	investor	full	active
베네딕트 컴버배치	Benedict Cumberbatch	actor	full	active
베니토 무솔리니	Benito Mussolini	politician	full	active
벤저민 디즈레일리	Benjamin Disraeli	politician	full	inactive
벤자민 프랭클린	Benjamin Franklin	politician	full	active
벤저민 그레이엄	Benjamin Graham	investor	full	active
베냐민 네타냐후	Benjamin Netanyahu	politician	full	active
베르나르 베르베르	Bernard Werber	author	full	active
베르나르 리만	Bernhard Riemann	scientist	full	active
버트런드 러셀	Bertrand Russell	humanities_scholar	full	active
비욘세	Beyonce	musician	full	active
빌 애크먼	Bill Ackman	investor	full	active
빌 클린턴	Bill Clinton	politician	full	active
빌 게이츠	Bill Gates	entrepreneur	full	active
빌리 아일리시	Billie Eilish	musician	full	active
빌리 조엘	Billy Joel	musician	full	active
블레즈 파스칼	Blaise Pascal	scientist	full	active
밥 딜런	Bob Dylan	musician	full	active
밥 말리	Bob Marley	musician	full	active
밥 오든커크	Bob Odenkirk	actor	full	active
