아래는 어느 서비스에 등록된 실존 인물(일부 신화 인물 포함) 명단이다. 형식: slug|이름|직군|출생연도.

[명단]
aaron-swartz|애런 슈워츠|leader|1986-11-08
abraham-lincoln|에이브러햄 링컨|politician|1809-02-12
achilles|아킬레우스|commander|
ada-lovelace|에이다 러브레이스|scientist|1815-12-10
adam-grant|아담 그랜트|social_scientist|1981-08-13
adam-smith|아담 스미스|social_scientist|1723-06-05
adena-friedman|아데나 프리드먼|entrepreneur|1969
adolf-hitler|아돌프 히틀러|politician|1889-04-20
adrien-brody|에이드리언 브로디|actor|1973-04-14
aeneas|아이네이아스|commander|
aeolus|아이올로스|leader|
aeschylus|아이스킬로스|author|-525
agamemnon|아가멤논|commander|
agatha-christie|애거서 크리스티|author|1890-09-15
ahmed-sherif|아흐메드 셰리프|entrepreneur|
ahn-chang-ho|안창호|leader|1878-11-09
aidan-gomez|에이단 고메즈|entrepreneur|1993
ajax-the-great|대 아이아스|commander|
ajax-the-lesser|소 아이아스|commander|
akbar-the-great|악바르 대제|commander|1542-10-15
akio-morita|모리타 아키오|entrepreneur|1921-01-26
akio-toyoda|토요다 아키오|entrepreneur|1956-05-03
akira-kurosawa|쿠로사와 아키라|director|1910-03-23
akira-toriyama|토리야마 아키라|author|1955-04-05
al-biruni|알 비루니|scientist|973-09-04
al-farabi|알 파라비|humanities_scholar|872
al-ghazali|알 가잘리|humanities_scholar|1058
al-kamil|알 카밀|politician|1180
al-khwarizmi|알 콰리즈미|scientist|780
al-kindi|알 킨디|humanities_scholar|801
al-mamun|알 마문|politician|786-09-14
al-pacino|알 파치노|actor|1940-04-25
alan-rickman|앨런 릭먼|actor|1946-02-21
alan-turing|앨런 튜링|scientist|1912-06-23
albert-einstein|알버트 아인슈타인|scientist|1879-03-14
alberto-giacometti|알베르토 자코메티|visual_artist|1901-10-10
albertus-magnus|알베르투스 마그누스|humanities_scholar|1200-01-01
alcibiades|알키비아데스|commander|-450
alec-radford|알렉 래드포드|scientist|1993-04
alex-ferguson|알렉스 퍼거슨|athlete|1941-12-31
alex-graves|알렉스 그레이브스|scientist|
alex-karp|알렉스 카프|entrepreneur|1967-10-02
alex-krizhevsky|알렉스 크리제프스키|scientist|1986
alex-spiro|알렉스 스파이로|other|
alexander-hamilton|알렉산더 해밀턴|politician|1755-01-11
alexander-kolesnikov|알렉산더 콜레스니코프|scientist|
alexander-pushkin|알렉산드르 푸시킨|author|1799-06-06
alexander-scriabin|알렉산드르 스크랴빈|musician|1872-01-06
alexander-the-great|알렉산더 대왕|commander|-356
alexander-von-humboldt|알렉산더 폰 훔볼트|scientist|1769-09-14
alexandr-wang|알렉산더 왕|entrepreneur|1997-01-01
alexandre-dumas|알렉상드르 뒤마|author|1802-07-24
alexis-de-tocqueville|알렉시 드 토크빌|social_scientist|1805-07-29
alfred-hitchcock|알프레드 히치콕|director|1899-08-13
alfred-nobel|알프레드 노벨|scientist|1833-10-21
ali-ghodsi|알리 고드시|entrepreneur|1978-12-01
alice-munro|앨리스 먼로|author|1931-07-10
allen-zhang|장샤오룽|entrepreneur|1969-12-03
amber-heard|엠버 허드|actor|1986-04-22
amy-adams|에이미 아담스|actor|1974-08-20
an-jung-geun|안중근|commander|1879-09-02
an-lushan|안녹산|commander|703-02-19
ana-de-armas|아나 데 아르마스|actor|1988-04-30
andre-gide|앙드레 지드|author|1869-11-22
andre-massena|앙드레 마세나|commander|1758
andrei-tarkovsky|안드레이 타르콥스키|director|1932-04-04
andrej-karpathy|안드레 카파시|scientist|1986-10-23
andrew-carnegie|앤드류 카네기|entrepreneur|1835-11-25
andrew-feldman|앤드류 펠드만|entrepreneur|1969
andrew-huberman|앤드류 후버만|scientist|1975-09-26
andrew-lincoln|앤드루 링컨|actor|1973-09-14
andrew-milich|앤드루 밀리치|entrepreneur|
andrew-ng|앤드류 응|scientist|1976-04-18
andrew-tulloch|앤드루 털럭|scientist|1989
andrew-weinreich|앤드루 와인라이크|entrepreneur|1968
andy-grove|앤디 그로브|entrepreneur|1936-09-02
andy-lau|유덕화|actor|1961-09-27
andy-serkis|앤디 서키스|actor|1964-04-20
andy-warhol|앤디 워홀|visual_artist|1928-08-06
ang-lee|리안|director|1954-10-23
angela-merkel|앙겔라 메르켈|politician|1954-07-17
angelina-jolie|안젤리나 졸리|actor|1975-06-04
anita-roddick|아니타 로딕|entrepreneur|1942-10-23
anna-akhmatova|안나 아흐마토바|author|1889-06-23
anne-frank|안네 프랑크|author|1929-06-12
anne-hathaway|앤 해서웨이|actor|1982-11-12
annie-ernaux|안니 에르노|author|1940-09-01
anthony-armstrong|앤서니 암스트롱|entrepreneur|
anthony-hopkins|안쏘니 홉킨스|actor|1937-12-31
antigonus-i-monophthalmus|안티고노스 1세|commander|-382
antinous|안티노오스|other|
antisthenes|안티스테네스|humanities_scholar|-445
antonin-dvorak|안토닌 드보르자크|musician|1841-09-08
antonio-gracias|안토니오 그라시아스|investor|
antonio-gramsci|안토니오 그람시|humanities_scholar|1891-01-22
antonio-vivaldi|안토니오 비발디|musician|1678-03-04
anya-taylor-joy|안야 테일러조이|actor|1996-04-16
aphrodite|아프로디테|other|
apollo|아폴론|other|
aravind-srinivas|아라빈드 스리니바스|entrepreneur|1994-06-07
archimedes|아르키메데스|scientist|-287
ares|아레스|other|
argos|아르고스|other|
ariana-grande|아리아나 그란데|musician|1993-06-26
arianna-huffington|아리아나 허핑턴|entrepreneur|1950-07-15
aristotle|아리스토텔레스|humanities_scholar|-384
arnold-palmer|아놀드 파머|athlete|1929-09-10
arnold-schoenberg|아놀드 쇤베르크|musician|1874-09-13
arnold-schwarzenegger|아놀드 슈왈츠제네거|actor|1947-07-30
arthur-conan-doyle|아서 코난 도일|author|1859-05-22
arthur-mensch|아르투르 멘쉬|entrepreneur|1992-07-17
arthur-schnitzler|아르투어 슈니츨러|author|1862-05-15
arthur-schopenhauer|아르투어 쇼펜하우어|humanities_scholar|1788-02-22
ashish-vaswani|아쉬시 바스와니|scientist|1986
ashok-elluswamy|아쇼크 엘루스와미|scientist|
ashoka-the-great|아소카 왕|politician|-304
athena|아테나|other|
attila|아틸라|commander|406
audrey-hepburn|오드리 햅번|actor|1929-05-04
auguste-rodin|오귀스트 로댕|visual_artist|1840-11-12
augustine|아우구스티누스|humanities_scholar|354-11-13
augustus|아우구스투스|politician|-0063-09-23
ayn-rand|아인 랜드|author|1905-02-02
ayrton-senna|아일톤 세나|athlete|1960-03-21
ba-jin|바진|author|1904-11-25
babe-ruth|베이브 루스|athlete|1895-02-06
bad-bunny|배드 버니|musician|1994-03-10
bai-juyi|백거이|author|772
bai-qi|백기|commander|
ban-gu|반고|humanities_scholar|32
ban-zhao|반소|humanities_scholar|49
bang-si-hyuk|방시혁|entrepreneur|1972-08-09
bao-zheng|포청천|politician|0999-04-11
barack-obama|버락 오바마|politician|1961-08-04
barbara-cartland|바바라 카틀랜드|author|1901-07-09
baruch-spinoza|바뤼흐 스피노자|humanities_scholar|1632-11-24
batu-khan|바투 칸|commander|1205
ben-affleck|벤 에플렉|actor|1972-08-15
ben-horowitz|벤 호로위츠|investor|1966-06-13
ben-mann|벤 맨|entrepreneur|
benedict-cumberbatch|베네딕트 컴버배치|actor|1976-07-19
benito-mussolini|베니토 무솔리니|politician|1883-07-29
benjamin-disraeli|벤저민 디즈레일리|politician|1804-12-21
benjamin-franklin|벤자민 프랭클린|politician|1706-01-17
benjamin-graham|벤저민 그레이엄|investor|1894-05-09
benjamin-netanyahu|베냐민 네타냐후|politician|1949-10-21
benji-taylor|벤지 테일러|entrepreneur|1999
bernard-arnault|베르나르 아르노|entrepreneur|1949-03-05
bernard-werber|베르나르 베르베르|author|1961-09-18
